Average Max,Average Mean,Average Min,Average Variability,Centroid_Latitude,Centroid_Longitude,Number_Destination_Zones_in_Region,Region_Name,Time,Weekday
599.2857142857143,369.7142857142857,234.57142857142858,0.9418301836348731,38.89335969,-77.00886738,7,R1,12:00AM-02:00AM,Fridays
824.4285714285714,522.1428571428571,341.14285714285717,1.0102243569701026,38.89335969,-77.00886738,7,R1,04:00PM-06:00PM,Fridays
710.2857142857143,460.57142857142856,307.57142857142856,1.0678669661118665,38.89335969,-77.00886738,7,R1,06:00PM-08:00PM,Fridays
601.8571428571429,388.0,257.85714285714283,1.059222118946566,38.89335969,-77.00886738,7,R1,08:00PM-10:00PM,Fridays
588.7142857142857,381.57142857142856,254.71428571428572,1.0751542736683335,38.89335969,-77.00886738,7,R1,10:00PM-12:00AM,Fridays
843.1428571428571,494.57142857142856,300.42857142857144,0.8618076389703095,38.89335969,-77.00886738,7,R1,07:00AM-09:00AM,Fridays
610.1428571428571,372.42857142857144,237.14285714285714,0.9585930554268491,38.89335969,-77.00886738,7,R1,12:00AM-02:00AM,Mondays
736.0,468.14285714285717,309.85714285714283,1.060035586220873,38.89335969,-77.00886738,7,R1,04:00PM-06:00PM,Mondays
676.5714285714286,426.0,275.57142857142856,0.9798431605621907,38.89335969,-77.00886738,7,R1,06:00PM-08:00PM,Mondays
591.5714285714286,379.7142857142857,250.28571428571428,1.029013301470289,38.89335969,-77.00886738,7,R1,08:00PM-10:00PM,Mondays
680.0,388.2857142857143,225.71428571428572,0.8140079209799824,38.89335969,-77.00886738,7,R1,10:00PM-12:00AM,Mondays
809.4285714285714,485.7142857142857,300.57142857142856,0.8976434398437222,38.89335969,-77.00886738,7,R1,07:00AM-09:00AM,Mondays
556.8571428571429,354.57142857142856,230.42857142857142,0.9997357130215117,38.89335969,-77.00886738,7,R1,12:00AM-02:00AM,Saturdays
693.2857142857143,438.7142857142857,288.57142857142856,1.0383183096579531,38.89335969,-77.00886738,7,R1,04:00PM-06:00PM,Saturdays
654.7142857142857,419.0,277.0,1.0421009611030734,38.89335969,-77.00886738,7,R1,06:00PM-08:00PM,Saturdays
600.7142857142857,383.57142857142856,252.42857142857142,1.043283659687682,38.89335969,-77.00886738,7,R1,08:00PM-10:00PM,Saturdays
578.8571428571429,377.42857142857144,255.0,1.1004094696221534,38.89335969,-77.00886738,7,R1,10:00PM-12:00AM,Saturdays
663.0,381.57142857142856,233.42857142857142,0.9268029215171821,38.89335969,-77.00886738,7,R1,07:00AM-09:00AM,Saturdays
569.5714285714286,357.42857142857144,231.14285714285714,0.9955242916901271,38.89335969,-77.00886738,7,R1,12:00AM-02:00AM,Sundays
624.0,401.2857142857143,266.7142857142857,1.0684340889847785,38.89335969,-77.00886738,7,R1,04:00PM-06:00PM,Sundays
591.8571428571429,377.57142857142856,248.85714285714286,1.048587419533283,38.89335969,-77.00886738,7,R1,06:00PM-08:00PM,Sundays
615.2857142857143,385.42857142857144,246.57142857142858,0.965736911107027,38.89335969,-77.00886738,7,R1,08:00PM-10:00PM,Sundays
588.0,371.42857142857144,241.0,0.9877278688722396,38.89335969,-77.00886738,7,R1,10:00PM-12:00AM,Sundays
678.1428571428571,393.42857142857144,237.14285714285714,0.8940039072430358,38.89335969,-77.00886738,7,R1,07:00AM-09:00AM,Sundays
575.5714285714286,344.14285714285717,213.42857142857142,0.9016859546118621,38.89335969,-77.00886738,7,R1,12:00AM-02:00AM,Thursdays
825.2857142857143,525.0,344.7142857142857,1.0249398674107286,38.89335969,-77.00886738,7,R1,04:00PM-06:00PM,Thursdays
714.1428571428571,453.85714285714283,297.2857142857143,1.014247388613553,38.89335969,-77.00886738,7,R1,06:00PM-08:00PM,Thursdays
611.2857142857143,386.85714285714283,250.71428571428572,1.0025111574727574,38.89335969,-77.00886738,7,R1,08:00PM-10:00PM,Thursdays
571.0,375.57142857142856,254.0,1.1130973870304497,38.89335969,-77.00886738,7,R1,10:00PM-12:00AM,Thursdays
912.0,532.7142857142857,323.85714285714283,0.8668698571922521,38.89335969,-77.00886738,7,R1,07:00AM-09:00AM,Thursdays
580.8571428571429,360.0,230.71428571428572,0.9641322678140805,38.89335969,-77.00886738,7,R1,12:00AM-02:00AM,Tuesdays
811.0,507.85714285714283,328.57142857142856,0.9975311168324694,38.89335969,-77.00886738,7,R1,04:00PM-06:00PM,Tuesdays
641.5714285714286,420.85714285714283,283.57142857142856,1.1032753491259837,38.89335969,-77.00886738,7,R1,06:00PM-08:00PM,Tuesdays
575.7142857142857,380.42857142857144,258.14285714285717,1.1182491076258343,38.89335969,-77.00886738,7,R1,08:00PM-10:00PM,Tuesdays
568.1428571428571,364.14285714285717,239.0,1.027854408873257,38.89335969,-77.00886738,7,R1,10:00PM-12:00AM,Tuesdays
892.5714285714286,514.5714285714286,308.14285714285717,0.8321929322893394,38.89335969,-77.00886738,7,R1,07:00AM-09:00AM,Tuesdays
576.8571428571429,343.57142857142856,210.28571428571428,0.8709802682017594,38.89335969,-77.00886738,7,R1,12:00AM-02:00AM,Wednesdays
828.7142857142857,523.2857142857143,339.2857142857143,0.9974071057286216,38.89335969,-77.00886738,7,R1,04:00PM-06:00PM,Wednesdays
769.1428571428571,485.85714285714283,313.42857142857144,0.9775688042552063,38.89335969,-77.00886738,7,R1,06:00PM-08:00PM,Wednesdays
620.5714285714286,396.14285714285717,259.14285714285717,1.0103038245118432,38.89335969,-77.00886738,7,R1,08:00PM-10:00PM,Wednesdays
