Average Max,Average Mean,Average Min,Average Variability,Weekday,Region,Timeslot,Avg_Traffic
599.2857142857142,369.71428571428567,234.57142857142856,0.9418301836348733,5,3,0,519.6923077
824.4285714285713,522.1428571428571,341.14285714285717,1.0102243569701026,5,3,2,1966.6153846
710.2857142857142,460.57142857142856,307.57142857142856,1.0678669661118665,5,3,3,1744.9230769
601.8571428571429,388.0,257.85714285714283,1.059222118946566,5,3,4,1585.5384616
588.7142857142858,381.57142857142856,254.7142857142857,1.0751542736683335,5,3,5,1473.2307692
843.1428571428571,494.57142857142856,300.42857142857144,0.8618076389703095,5,3,1,749.5384614999999
610.1428571428571,372.4285714285714,237.14285714285717,0.9585930554268492,1,3,0,355.5384616
736.0,468.1428571428572,309.85714285714283,1.060035586220873,1,3,2,1873.2307693
676.5714285714286,426.0,275.57142857142856,0.9798431605621908,1,3,3,1702.4615384
591.5714285714286,379.71428571428567,250.28571428571428,1.0290133014702891,1,3,4,1432.6153846000002
680.0,388.28571428571433,225.7142857142857,0.8140079209799824,1,3,5,878.4615385
809.4285714285713,485.71428571428567,300.57142857142856,0.8976434398437222,1,3,1,696.4615385
556.8571428571429,354.57142857142856,230.42857142857144,0.9997357130215117,6,3,0,768.6153846
693.2857142857142,438.71428571428567,288.57142857142856,1.0383183096579531,6,3,2,1856.5
654.7142857142858,419.0,277.0,1.0421009611030734,6,3,3,1624.8333333
600.7142857142858,383.57142857142856,252.42857142857144,1.043283659687682,6,3,4,1537.3333334000004
578.8571428571429,377.4285714285714,255.0,1.1004094696221534,6,3,5,1594.3076922999999
663.0,381.57142857142856,233.42857142857144,0.926802921517182,6,3,1,278.66666669999995
569.5714285714286,357.42857142857144,231.14285714285717,0.9955242916901272,7,3,0,897.0
624.0,401.28571428571433,266.7142857142857,1.0684340889847783,7,3,2,1344.1538461
591.8571428571429,377.57142857142856,248.85714285714286,1.048587419533283,7,3,3,1199.0769231
615.2857142857142,385.4285714285714,246.57142857142856,0.965736911107027,7,3,4,1177.3846154
588.0,371.4285714285714,241.0,0.9877278688722396,7,3,5,888.3076922999999
678.1428571428571,393.4285714285714,237.14285714285717,0.8940039072430358,7,3,1,207.53846154000001
575.5714285714286,344.1428571428572,213.42857142857144,0.901685954611862,4,3,0,344.0
825.2857142857142,525.0,344.71428571428567,1.0249398674107286,4,3,2,2620.153846
714.1428571428571,453.8571428571428,297.2857142857143,1.014247388613553,4,3,3,2190.3076922
611.2857142857142,386.8571428571428,250.7142857142857,1.0025111574727574,4,3,4,1886.9230769
571.0,375.57142857142856,254.0,1.1130973870304497,4,3,5,1314.1538461
912.0,532.7142857142857,323.85714285714283,0.8668698571922521,4,3,1,1166.1538461999999
580.8571428571429,360.0,230.7142857142857,0.9641322678140803,2,3,0,305.6923077
811.0,507.8571428571428,328.57142857142856,0.9975311168324694,2,3,2,2524.923077
641.5714285714286,420.8571428571428,283.57142857142856,1.1032753491259837,2,3,3,1973.2307696000003
575.7142857142858,380.4285714285714,258.14285714285717,1.1182491076258343,2,3,4,1595.2307692999998
568.1428571428571,364.1428571428572,239.0,1.027854408873257,2,3,5,1011.3846154
892.5714285714287,514.5714285714286,308.14285714285717,0.8321929322893394,2,3,1,1044.9230769
576.8571428571429,343.57142857142856,210.28571428571428,0.8709802682017594,3,3,0,287.0769231
828.7142857142858,523.2857142857143,339.2857142857143,0.9974071057286216,3,3,2,2819.846154
769.1428571428571,485.8571428571428,313.42857142857144,0.9775688042552064,3,3,3,2356.0
620.5714285714286,396.1428571428572,259.14285714285717,1.0103038245118432,3,3,4,1834.0
594.8571428571429,376.1428571428572,243.42857142857144,0.987165790736528,3,3,5,1139.6923077
903.1428571428572,540.5714285714286,336.42857142857144,0.9060948239375074,3,3,1,1227.3846154
559.0,199.0,71.0,0.4077868852459016,5,1,0,41.709401709999995
865.0,312.0,112.0,0.4143426294820717,5,1,2,183.0
804.0,305.0,116.0,0.4433139534883721,5,1,3,123.98717948000001
